epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.43495,2.41308,5.97076,1.29516,1.99015,0,0.92902,0.93326,0.97643,0.66086,0.92055,0.92383,0.96363,0.46416,1.1055,3.14485,1.01679,1.02684,0,0.00048,0.00048,0.00048
2,12.4484,0.96158,1.40388,0.66101,0.94665,0,0.90417,0.97193,0.97743,0.69503,0.90012,0.96575,0.96795,0.58938,0.96628,1.82979,0.8838,0.97845,0,0.00094766,0.00094766,0.00094766
3,17.4976,0.93914,1.24383,0.61568,0.92841,0,0.77917,0.84196,0.85778,0.67249,0.77709,0.83972,0.84274,0.54529,0.84244,2.18261,0.77934,0.93635,0,0.00138232,0.00138232,0.00138232
4,22.4399,0.93315,1.1648,0.59885,0.94671,0,0.96804,0.9388,0.98404,0.75964,0.96746,0.93824,0.98386,0.64408,0.84311,1.34859,0.67092,0.9242,0,0.00178398,0.00178398,0.00178398
5,27.2505,0.75643,1.16141,0.49996,0.90321,0,0.97884,0.82089,0.87743,0.74813,0.97884,0.82089,0.87743,0.63641,0.63988,1.3009,0.86226,0.86815,0,0.001736,0.001736,0.001736
6,32.1653,0.73218,1.02237,0.474,0.89722,0,0.98778,0.99882,0.99331,0.84972,0.98778,0.99882,0.99331,0.74598,0.58891,1.091,0.42858,0.8455,0,0.00167,0.00167,0.00167
7,36.8988,0.73094,1.10708,0.4683,0.87901,0,0.87095,0.99775,0.87838,0.7495,0.87095,0.99775,0.87838,0.6751,0.57118,1.03215,0.55502,0.83911,0,0.001604,0.001604,0.001604
8,41.6353,0.72544,1.03756,0.45466,0.88086,0,0.85435,0.79371,0.8576,0.70113,0.85435,0.79371,0.8576,0.59118,0.76803,1.57151,0.87987,0.90128,0,0.001538,0.001538,0.001538
9,46.4934,0.70004,0.95215,0.4414,0.8729,0,0.98769,0.99099,0.98935,0.83224,0.98769,0.99099,0.98935,0.75821,0.66487,1.04537,0.42975,0.85801,0,0.001472,0.001472,0.001472
10,51.2749,0.64994,0.90333,0.43378,0.86596,0,0.98825,0.99888,0.99341,0.87184,0.98825,0.99888,0.99341,0.79179,0.52427,0.80636,0.34308,0.8237,0,0.001406,0.001406,0.001406
11,56.1177,0.60986,0.86972,0.40421,0.8578,0,0.98822,0.99888,0.99305,0.87798,0.98822,0.99888,0.99305,0.79071,0.51569,0.79574,0.36182,0.82296,0,0.00134,0.00134,0.00134
12,61.005,0.56752,0.80596,0.37561,0.8504,0,0.98829,0.99888,0.99277,0.8902,0.98829,0.99888,0.99277,0.81337,0.46964,0.73376,0.30559,0.81073,0,0.001274,0.001274,0.001274
13,65.8879,0.56853,0.76769,0.3704,0.83732,0,0.98829,0.99888,0.99287,0.89476,0.98829,0.99888,0.99287,0.81759,0.45242,0.69676,0.30731,0.80888,0,0.001208,0.001208,0.001208
14,70.6129,0.5487,0.73129,0.35233,0.83836,0,0.98829,0.99888,0.99253,0.89583,0.98829,0.99888,0.99253,0.81757,0.45712,0.69968,0.30705,0.80598,0,0.001142,0.001142,0.001142
15,75.4867,0.55186,0.71533,0.3526,0.84565,0,0.98827,0.99888,0.99275,0.89565,0.98827,0.99888,0.99275,0.81352,0.45277,0.68387,0.29669,0.80631,0,0.001076,0.001076,0.001076
16,80.2519,0.54031,0.71937,0.34485,0.83213,0,0.98826,0.99888,0.99329,0.90886,0.98826,0.99888,0.99329,0.83235,0.43274,0.62498,0.28805,0.8037,0,0.00101,0.00101,0.00101
17,85.0155,0.496,0.68174,0.32504,0.82791,0,0.9883,0.99888,0.99372,0.90165,0.9883,0.99888,0.99372,0.83181,0.42866,0.65003,0.29096,0.80344,0,0.000944,0.000944,0.000944
18,89.917,0.51013,0.72472,0.33031,0.82829,0,0.98829,0.99888,0.99355,0.91636,0.98829,0.99888,0.99355,0.83631,0.40252,0.63489,0.26606,0.79587,0,0.000878,0.000878,0.000878
19,94.6212,0.49788,0.64572,0.3207,0.83726,0,0.98829,0.99888,0.99327,0.90434,0.98829,0.99888,0.99327,0.84739,0.43861,0.61383,0.26783,0.80437,0,0.000812,0.000812,0.000812
20,99.3265,0.50612,0.64957,0.32072,0.83575,0,0.98829,0.99888,0.99349,0.88829,0.98829,0.99888,0.99349,0.82267,0.46752,0.59541,0.28649,0.80582,0,0.000746,0.000746,0.000746
21,116.239,0.53264,0.65274,0.3203,0.84402,0,0.98828,0.99888,0.99341,0.8811,0.98828,0.99888,0.99341,0.82151,0.49632,0.61386,0.29956,0.81095,0,0.00068,0.00068,0.00068
22,120.703,0.48436,0.64488,0.30544,0.82804,0,0.98828,0.99888,0.99313,0.90017,0.98828,0.99888,0.99313,0.83836,0.44618,0.60923,0.27152,0.80361,0,0.000614,0.000614,0.000614
