epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.59732,1.01564,3.09708,1.04527,0.00333,0.14458,0.00556,0.00498,1.00192,3.46241,0.91457,4e-05,4e-05,4e-05
2,2.98387,1.01029,3.16433,1.04451,0.00306,0.13253,0.00504,0.00452,1.01727,3.45944,0.91826,9.85857e-05,9.85857e-05,9.85857e-05
3,3.46648,0.81418,2.9752,1.0487,0.01917,0.83133,0.12112,0.10705,0.90988,3.35907,0.84685,0.000155474,0.000155474,0.000155474
4,3.90057,0.67929,1.77493,1.00099,0.02139,0.92771,0.12868,0.11523,0.98333,3.2199,0.84833,0.000210666,0.000210666,0.000210666
5,4.32178,0.63077,1.03545,0.86582,0.74453,0.09639,0.12396,0.10862,0.86221,3.11209,0.82447,0.00026416,0.00026416,0.00026416
6,4.71879,0.78402,1.04039,0.93334,0.02111,0.91566,0.12144,0.10193,0.87373,3.17235,0.83358,0.000315957,0.000315957,0.000315957
7,5.12325,0.71524,0.93336,0.9175,0.81061,0.09639,0.12015,0.10226,0.86358,3.16026,0.83234,0.000366057,0.000366057,0.000366057
8,5.52007,0.71822,0.90371,0.8667,0.84519,0.09639,0.12095,0.10604,0.86735,3.1433,0.83402,0.00041446,0.00041446,0.00041446
9,5.91729,0.63766,0.9854,0.96823,0.96254,0.09639,0.12055,0.10605,0.806,3.13811,0.83295,0.000461166,0.000461166,0.000461166
10,6.30611,0.59327,0.89777,0.9317,0.96416,0.09639,0.12171,0.10921,0.80294,3.12104,0.82878,0.000506174,0.000506174,0.000506174
11,6.70899,0.58885,0.84864,0.90779,0.97507,0.09639,0.12683,0.11328,0.83545,3.10751,0.82799,0.000549486,0.000549486,0.000549486
12,7.1011,0.69065,0.87905,0.91835,0.95641,0.09639,0.12598,0.11188,0.88734,3.14982,0.8347,0.0005911,0.0005911,0.0005911
13,7.50188,0.65215,0.82619,0.9086,0.95855,0.09639,0.12683,0.1092,0.8616,3.03722,0.8355,0.000631017,0.000631017,0.000631017
14,7.89731,0.73828,0.81165,0.90395,0.94617,0.09639,0.12603,0.10898,0.79668,3.00171,0.83334,0.000669237,0.000669237,0.000669237
15,8.29574,0.62827,0.80954,0.91705,0.91545,0.09639,0.11785,0.10249,0.84935,3.04439,0.85841,0.00070576,0.00070576,0.00070576
16,8.73875,0.55399,0.83654,0.89995,1,0.07288,0.11331,0.10174,0.83804,3.10559,0.86376,0.000740586,0.000740586,0.000740586
17,9.13528,0.64582,0.76055,0.90651,0.95721,0.09639,0.13333,0.11163,1.03523,2.77599,0.86348,0.000773714,0.000773714,0.000773714
18,9.52871,0.69476,0.85642,0.89236,0.955,0.09639,0.13346,0.11106,1.11749,2.7565,0.87348,0.000805146,0.000805146,0.000805146
19,9.91813,0.62845,0.91645,0.93079,0.95446,0.09639,0.13155,0.11481,0.96893,2.84339,0.84841,0.00083488,0.00083488,0.00083488
20,10.3078,0.53105,0.86429,0.93536,0.99021,0.09639,0.12977,0.11448,0.84687,2.71902,0.83946,0.000862917,0.000862917,0.000862917
21,10.7022,0.64237,0.81743,0.90818,0.8884,0.09639,0.16225,0.14097,0.82353,2.45817,0.84405,0.000889257,0.000889257,0.000889257
22,11.0989,0.51729,0.82918,0.92047,0.69472,0.10843,0.45039,0.35239,0.85777,2.26913,0.85171,0.0009139,0.0009139,0.0009139
23,11.5001,0.56535,0.74569,0.9174,0.63052,0.13253,0.52255,0.42204,0.81652,2.2043,0.85449,0.000936846,0.000936846,0.000936846
24,11.91,0.58318,0.78565,0.94301,0.85647,0.13253,0.56544,0.4477,0.81282,2.18246,0.85514,0.000958094,0.000958094,0.000958094
25,12.3104,0.67953,0.71883,0.90435,1,0.1567,0.68182,0.5295,0.86038,2.11109,0.85598,0.000977646,0.000977646,0.000977646
26,12.7141,0.62538,0.79041,0.91204,1,0.18517,0.66965,0.5049,0.89455,2.03568,0.85782,0.0009955,0.0009955,0.0009955
27,13.1061,0.62098,0.71288,0.89973,0.86335,0.21687,0.68886,0.51001,0.92908,1.92335,0.87356,0.00101166,0.00101166,0.00101166
28,13.5511,0.57294,0.71738,0.96517,0.87988,0.26478,0.70711,0.5567,0.85286,1.8439,0.86749,0.00102612,0.00102612,0.00102612
29,13.9625,0.63138,0.65146,0.88348,0.87988,0.26478,0.70711,0.5567,0.85286,1.8439,0.86749,0.00103888,0.00103888,0.00103888
30,14.3677,0.60991,0.67286,0.89616,0.89771,0.31731,0.77287,0.6351,0.72887,1.8041,0.84407,0.00104995,0.00104995,0.00104995
31,14.7736,0.72257,0.65697,0.92714,0.92887,0.31472,0.82258,0.66219,0.76129,1.81371,0.85158,0.00105931,0.00105931,0.00105931
32,15.182,0.66348,0.67348,0.87601,0.856,0.42979,0.79899,0.59875,0.90653,1.78698,0.87511,0.00106699,0.00106699,0.00106699
33,15.5716,0.60399,0.69032,0.90031,0.856,0.42979,0.79899,0.59875,0.90653,1.78698,0.87511,0.00107296,0.00107296,0.00107296
