epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.4821,1.29006,3.12167,3.11548,1.1325,0,0.00417,0.18072,0.00611,0.00368,0.00472,0.20482,0.00559,0.00385,1.36519,2.04653,3.47872,1.05944,0,4e-05,4e-05,4e-05
2,4.05971,1.27044,2.99522,3.13826,1.1774,0,0.00444,0.19277,0.00629,0.00417,0.005,0.21687,0.00602,0.00434,1.36588,2.03536,3.47013,1.05246,0,9.87625e-05,9.87625e-05,9.87625e-05
3,4.61698,1.1748,3.12014,3.06223,1.13594,0,0.01556,0.6747,0.06404,0.04215,0.01611,0.6988,0.06446,0.0421,1.40657,1.89961,3.39015,1.00736,0,0.00015604,0.00015604,0.00015604
4,5.25421,1.04941,2.0958,2.08436,1.08117,0,0.01861,0.80723,0.12505,0.08424,0.01778,0.77108,0.12194,0.08301,1.37908,1.92377,3.33094,0.99633,0,0.000211833,0.000211833,0.000211833
5,5.92048,1.11024,1.81946,1.38388,1.02461,0,0.01944,0.84337,0.11073,0.07186,0.01972,0.85542,0.10932,0.0681,1.38073,2.02846,3.32339,1.00676,0,0.00026614,0.00026614,0.00026614
6,6.499,1.11061,1.78449,1.21857,0.9838,0,0.01917,0.83133,0.03971,0.01879,0.01944,0.84337,0.03753,0.01749,1.41447,1.95454,3.37754,1.05956,0,0.000318963,0.000318963,0.000318963
7,7.08561,1.13688,1.74145,1.10379,1.05027,0,0.02056,0.89157,0.0401,0.01407,0.01917,0.83133,0.03187,0.01301,1.36231,2.15009,3.39447,1.10874,0,0.0003703,0.0003703,0.0003703
8,7.66096,1.12002,1.63336,1.0911,0.96754,0,0.01889,0.81928,0.03047,0.01239,0.01889,0.81928,0.03299,0.01288,1.30833,2.07111,3.39186,1.08446,0,0.000420152,0.000420152,0.000420152
9,8.22745,1.04829,1.72208,1.20573,1.04636,0,0.01694,0.73494,0.02766,0.01079,0.01722,0.74699,0.03587,0.01444,1.3059,2.12711,3.40865,1.09922,0,0.00046852,0.00046852,0.00046852
10,8.80139,1.00153,1.61415,1.16009,1.03486,0,0.01639,0.71084,0.07731,0.04551,0.01667,0.72289,0.09462,0.04402,1.25043,2.24444,3.41252,1.02917,0,0.000515403,0.000515403,0.000515403
11,9.3734,0.99506,1.53904,1.10405,1.04324,0,0.01806,0.78313,0.07145,0.02988,0.01806,0.78313,0.07693,0.03653,1.3933,2.46299,3.4148,1.08448,0,0.0005608,0.0005608,0.0005608
12,9.93214,1.0753,1.51746,1.09838,1.03152,0,0.01722,0.74699,0.05165,0.0212,0.01694,0.73494,0.06735,0.02904,1.54479,3.07937,3.45431,1.12576,0,0.000604713,0.000604713,0.000604713
13,10.4931,0.9727,1.48343,1.0121,1.00197,0,0.01917,0.83133,0.08073,0.03994,0.01806,0.78313,0.08497,0.04588,1.32954,2.28443,3.33976,0.97427,0,0.00064714,0.00064714,0.00064714
