epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.74981,4.28374,6.47127,6.7476,1.98342,0,0.00088,0.05556,0.00055,6e-05,0.00118,0.07407,0.00098,0.0001,3.80165,7.69837,6.67939,2.18313,0,1e-05,1e-05,1e-05
2,3.18224,4.16661,6.80366,7.09607,1.80131,0,0.00078,0.05556,0.00057,6e-05,0.00103,0.07407,0.00097,0.0001,3.78494,7.62035,6.70477,2.17659,0,2.96287e-05,2.96287e-05,2.96287e-05
3,3.76415,4.4151,6.78757,6.35753,1.80879,0,0.00071,0.05556,0.00043,5e-05,0.00071,0.05556,0.00043,4e-05,3.67022,6.33642,6.18026,2.02169,0,4.87625e-05,4.87625e-05,4.87625e-05
4,4.29374,3.18406,4.17821,5.0095,1.68454,0,0.03399,0.07222,0.00569,0.0038,0.03399,0.07222,0.00569,0.0038,2.951,3.43889,5.3294,1.39313,0,6.74013e-05,6.74013e-05,6.74013e-05
5,4.79878,2.55685,3.39596,4.2157,1.28376,0,0.05089,0.09074,0.01092,0.00553,0.00461,0.11343,0.003,0.00093,2.21486,3.0048,4.83392,1.09153,0,8.5545e-05,8.5545e-05,8.5545e-05
6,5.28729,2.38091,3.30328,3.50521,1.11578,0,0.06324,0.38959,0.06114,0.02342,0.05626,0.34159,0.04898,0.01632,1.88362,2.82982,4.99969,0.94503,0,0.000103194,0.000103194,0.000103194
7,5.79439,1.96269,3.28597,3.22243,0.97447,0,0.2688,0.71007,0.20438,0.0957,0.2621,0.67194,0.22713,0.12014,1.72383,2.37715,5.99083,0.90023,0,0.000120348,0.000120348,0.000120348
8,6.2868,1.80082,2.48939,2.8118,0.97367,0,0.20827,0.79085,0.2757,0.14086,0.20327,0.79949,0.26966,0.1371,1.58197,2.01111,5.35663,0.88369,0,0.000137006,0.000137006,0.000137006
9,6.78301,1.53756,2.24834,2.29299,0.92513,0,0.27854,0.53312,0.29508,0.17549,0.26605,0.50418,0.27563,0.16114,1.46124,1.77359,4.07907,0.8639,0,0.00015317,0.00015317,0.00015317
10,7.27429,2.46818,2.68219,2.2454,0.8975,0,0.27377,0.58825,0.29992,0.17771,0.26336,0.55931,0.27692,0.15897,1.45622,1.76987,3.744,0.86333,0,0.000168839,0.000168839,0.000168839
11,7.76887,1.64622,1.70145,2.31269,0.94534,0,0.25739,0.66201,0.41852,0.26867,0.2397,0.64198,0.3927,0.22109,1.29504,1.61763,3.80624,0.84046,0,0.000184012,0.000184012,0.000184012
12,8.24683,1.47303,2.08906,1.92481,0.87359,0,0.25739,0.66201,0.41852,0.26867,0.2397,0.64198,0.3927,0.22109,1.29504,1.61763,3.80624,0.84046,0,0.000198691,0.000198691,0.000198691
13,8.76252,1.35853,1.74302,2.00686,0.87095,0,0.43304,0.55445,0.49438,0.32478,0.41641,0.53285,0.45924,0.25731,1.25218,1.60165,3.5415,0.84035,0,0.000212875,0.000212875,0.000212875
14,9.29195,1.49267,1.87473,1.82676,0.8419,0,0.54845,0.539,0.56496,0.3598,0.52354,0.49982,0.53048,0.28374,1.28624,1.58767,2.72652,0.84534,0,0.000226564,0.000226564,0.000226564
15,9.85316,1.6709,2.68053,2.05784,0.83974,0,0.54845,0.539,0.56496,0.3598,0.52354,0.49982,0.53048,0.28374,1.28624,1.58767,2.72652,0.84534,0,0.000239758,0.000239758,0.000239758
16,10.3984,1.35216,1.52352,1.72887,0.85256,0,0.4221,0.6087,0.54732,0.37704,0.39889,0.58172,0.50772,0.28597,1.18762,1.37758,2.08434,0.831,0,0.000252456,0.000252456,0.000252456
17,10.9322,1.35162,1.68931,1.70017,0.84782,0,0.38413,0.72963,0.56416,0.40555,0.36428,0.7328,0.52243,0.34567,1.08631,1.30963,2.12839,0.81606,0,0.00026466,0.00026466,0.00026466
18,11.4964,1.06919,1.16652,1.58837,0.81529,0,0.38413,0.72963,0.56416,0.40555,0.36428,0.7328,0.52243,0.34567,1.08631,1.30963,2.12839,0.81606,0,0.000276369,0.000276369,0.000276369
19,12.0184,1.11181,1.26476,1.50639,0.82154,0,0.48686,0.71701,0.61812,0.45164,0.44982,0.68569,0.58049,0.38846,1.06768,1.34344,2.08721,0.80901,0,0.000287583,0.000287583,0.000287583
20,12.5418,1.65709,1.62844,1.59992,0.82205,0,0.48686,0.71701,0.61812,0.45164,0.44982,0.68569,0.58049,0.38846,1.06768,1.34344,2.08721,0.80901,0,0.000298301,0.000298301,0.000298301
21,13.0596,1.08614,1.29758,1.39096,0.83428,0,0.47609,0.7653,0.62142,0.43756,0.46377,0.7252,0.58718,0.38499,1.24242,1.32239,1.89918,0.82073,0,0.000308525,0.000308525,0.000308525
22,13.4647,1.04889,1.26751,1.28007,0.84796,0,0.47609,0.7653,0.62142,0.43756,0.46377,0.7252,0.58718,0.38499,1.24242,1.32239,1.89918,0.82073,0,0.000318254,0.000318254,0.000318254
23,13.8978,1.26056,1.31489,1.46737,0.80339,0,0.44721,0.78794,0.61379,0.41756,0.41323,0.72177,0.55113,0.32417,1.26475,1.27001,1.65498,0.82724,0,0.000327488,0.000327488,0.000327488
24,14.3374,1.08326,1.3278,1.3106,0.82677,0,0.44721,0.78794,0.61379,0.41756,0.41323,0.72177,0.55113,0.32417,1.26475,1.27001,1.65498,0.82724,0,0.000336226,0.000336226,0.000336226
25,14.8162,1.16995,1.05679,1.46522,0.81109,0,0.55068,0.64437,0.61329,0.43823,0.53376,0.61886,0.58379,0.32527,1.13951,1.21266,1.48673,0.81409,0,0.00034447,0.00034447,0.00034447
26,15.2588,1.23689,1.27251,1.29998,0.82146,0,0.55068,0.64437,0.61329,0.43823,0.53376,0.61886,0.58379,0.32527,1.13951,1.21266,1.48673,0.81409,0,0.000352219,0.000352219,0.000352219
27,15.7004,1.08049,1.23467,1.30136,0.85689,0,0.55068,0.64437,0.61329,0.43823,0.53376,0.61886,0.58379,0.32527,1.13951,1.21266,1.48673,0.81409,0,0.000359473,0.000359473,0.000359473
28,16.1342,1.07854,1.38609,1.32492,0.8102,0,0.38427,0.74146,0.63437,0.45764,0.37719,0.73104,0.61515,0.34534,1.12211,1.54698,1.64938,0.80511,0,0.000366231,0.000366231,0.000366231
29,16.5557,1.10933,1.25902,1.28091,0.81377,0,0.38427,0.74146,0.63437,0.45764,0.37719,0.73104,0.61515,0.34534,1.12211,1.54698,1.64938,0.80511,0,0.000372495,0.000372495,0.000372495
30,16.9748,1.67446,1.91741,1.54638,0.78791,0,0.39422,0.7256,0.64336,0.47559,0.38733,0.6953,0.59843,0.33555,1.06637,1.29503,1.53092,0.80118,0,0.000378264,0.000378264,0.000378264
31,17.399,1.06084,1.19407,1.22542,0.82806,0,0.39422,0.7256,0.64336,0.47559,0.38733,0.6953,0.59843,0.33555,1.06637,1.29503,1.53092,0.80118,0,0.000383538,0.000383538,0.000383538
32,17.8324,1.1855,1.28138,1.32503,0.7928,0,0.39422,0.7256,0.64336,0.47559,0.38733,0.6953,0.59843,0.33555,1.06637,1.29503,1.53092,0.80118,0,0.000388316,0.000388316,0.000388316
33,18.2919,1.02448,1.27736,1.12978,0.84606,0,0.44708,0.74523,0.5714,0.41555,0.43563,0.7163,0.55743,0.30217,1.00372,1.21589,1.57819,0.7967,0,0.0003926,0.0003926,0.0003926
34,18.7357,0.86571,1.0659,1.08028,0.82222,0,0.44708,0.74523,0.5714,0.41555,0.43563,0.7163,0.55743,0.30217,1.00372,1.21589,1.57819,0.7967,0,0.000396389,0.000396389,0.000396389
35,19.2059,0.94435,1.11314,1.09068,0.84271,0,0.44708,0.74523,0.5714,0.41555,0.43563,0.7163,0.55743,0.30217,1.00372,1.21589,1.57819,0.7967,0,0.000399682,0.000399682,0.000399682
36,19.7472,1.46095,1.81153,1.35087,0.81527,0,0.44104,0.6726,0.54799,0.39303,0.42648,0.63337,0.51498,0.29417,1.0341,1.12897,1.95252,0.80614,0,0.000402481,0.000402481,0.000402481
37,20.2686,0.9058,1.10975,1.12962,0.81837,0,0.44104,0.6726,0.54799,0.39303,0.42648,0.63337,0.51498,0.29417,1.0341,1.12897,1.95252,0.80614,0,0.000404785,0.000404785,0.000404785
38,20.709,1.03236,1.26161,1.07011,0.81552,0,0.44104,0.6726,0.54799,0.39303,0.42648,0.63337,0.51498,0.29417,1.0341,1.12897,1.95252,0.80614,0,0.000406594,0.000406594,0.000406594
39,21.1287,0.89326,0.92413,1.20296,0.8333,0,0.44095,0.66539,0.56294,0.39376,0.44427,0.64422,0.55688,0.32352,1.11199,1.19447,1.43661,0.81723,0,0.000407908,0.000407908,0.000407908
40,21.5646,1.34405,1.38879,1.25255,0.81353,0,0.44095,0.66539,0.56294,0.39376,0.44427,0.64422,0.55688,0.32352,1.11199,1.19447,1.43661,0.81723,0,0.000408726,0.000408726,0.000408726
41,21.9903,0.97838,1.18453,1.05193,0.82423,0,0.44095,0.66539,0.56294,0.39376,0.44427,0.64422,0.55688,0.32352,1.11199,1.19447,1.43661,0.81723,0,0.00040905,0.00040905,0.00040905
42,22.4146,1.09381,1.10373,1.05652,0.79674,0,0.42488,0.7503,0.62675,0.47098,0.4176,0.73988,0.61631,0.37291,0.95807,1.13967,1.32286,0.79869,0,0.000408879,0.000408879,0.000408879
43,22.8693,0.94121,0.93761,1.05158,0.80268,0,0.42488,0.7503,0.62675,0.47098,0.4176,0.73988,0.61631,0.37291,0.95807,1.13967,1.32286,0.79869,0,0.000408213,0.000408213,0.000408213
44,23.3453,1.58118,1.61512,1.24973,0.80542,0,0.42488,0.7503,0.62675,0.47098,0.4176,0.73988,0.61631,0.37291,0.95807,1.13967,1.32286,0.79869,0,0.000407051,0.000407051,0.000407051
45,23.8102,0.8986,1.05316,1.0166,0.80569,0,0.42488,0.7503,0.62675,0.47098,0.4176,0.73988,0.61631,0.37291,0.95807,1.13967,1.32286,0.79869,0,0.000405395,0.000405395,0.000405395
46,24.2924,1.03018,1.00465,1.03802,0.79689,0,0.38104,0.84876,0.63399,0.47022,0.36974,0.82793,0.62429,0.37608,0.94766,1.00537,1.3055,0.79408,0,0.000403244,0.000403244,0.000403244
47,24.7766,1.03586,1.07963,1.08559,0.79338,0,0.38104,0.84876,0.63399,0.47022,0.36974,0.82793,0.62429,0.37608,0.94766,1.00537,1.3055,0.79408,0,0.000400598,0.000400598,0.000400598
48,25.2915,1.02172,1.0632,1.10081,0.81103,0,0.38104,0.84876,0.63399,0.47022,0.36974,0.82793,0.62429,0.37608,0.94766,1.00537,1.3055,0.79408,0,0.000397456,0.000397456,0.000397456
49,25.768,0.86026,0.91716,1.01608,0.82893,0,0.38104,0.84876,0.63399,0.47022,0.36974,0.82793,0.62429,0.37608,0.94766,1.00537,1.3055,0.79408,0,0.00039382,0.00039382,0.00039382
50,26.2564,1.20242,1.13742,1.04478,0.82032,0,0.43234,0.72365,0.63802,0.46836,0.40754,0.74527,0.62853,0.37347,0.95915,1.04018,1.32988,0.79384,0,0.000389689,0.000389689,0.000389689
51,26.7107,1.04687,1.51672,1.09769,0.83932,0,0.43234,0.72365,0.63802,0.46836,0.40754,0.74527,0.62853,0.37347,0.95915,1.04018,1.32988,0.79384,0,0.00038125,0.00038125,0.00038125
52,27.1556,0.88573,0.94401,0.9666,0.82984,0,0.43234,0.72365,0.63802,0.46836,0.40754,0.74527,0.62853,0.37347,0.95915,1.04018,1.32988,0.79384,0,0.000368875,0.000368875,0.000368875
53,27.634,1.11414,1.10872,1.07828,0.79662,0,0.43234,0.72365,0.63802,0.46836,0.40754,0.74527,0.62853,0.37347,0.95915,1.04018,1.32988,0.79384,0,0.0003565,0.0003565,0.0003565
54,28.2842,0.88317,0.99089,0.92218,0.8253,0,0.59141,0.60184,0.69026,0.50388,0.59141,0.60184,0.68133,0.39625,1.01564,1.08454,1.23639,0.79718,0,0.000344125,0.000344125,0.000344125
55,28.7503,0.84042,0.86558,0.80805,0.80437,0,0.59141,0.60184,0.69026,0.50388,0.59141,0.60184,0.68133,0.39625,1.01564,1.08454,1.23639,0.79718,0,0.00033175,0.00033175,0.00033175
56,29.218,1.08193,0.9275,1.39113,0.88463,0,0.59141,0.60184,0.69026,0.50388,0.59141,0.60184,0.68133,0.39625,1.01564,1.08454,1.23639,0.79718,0,0.000319375,0.000319375,0.000319375
57,29.7103,1.00377,1.12328,0.9017,0.80624,0,0.59141,0.60184,0.69026,0.50388,0.59141,0.60184,0.68133,0.39625,1.01564,1.08454,1.23639,0.79718,0,0.000307,0.000307,0.000307
58,30.2286,1.10351,1.23053,1.00216,0.80254,0,0.52672,0.72898,0.70547,0.52435,0.52672,0.72898,0.69492,0.39779,0.98481,1.09058,1.1877,0.7943,0,0.000294625,0.000294625,0.000294625
