epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.43719,0.92667,1.76505,2.2577,1.06325,0,0.7725,0.75065,0.77467,0.65264,0.7725,0.75065,0.77463,0.63278,0.63484,0.99942,1.68904,0.89078,0,0.00028,0.00028,0.00028
2,5.20403,0.61527,0.94551,0.80815,0.90513,0,0.8514,0.88421,0.85926,0.78308,0.8514,0.88421,0.85778,0.75786,0.4882,1.00214,1.12498,0.86655,0,0.000568516,0.000568516,0.000568516
3,6.75517,0.62368,0.88055,0.75823,0.91558,0,0.87448,0.84211,0.89025,0.76855,0.88641,0.85263,0.88982,0.71408,0.65433,1.67023,1.26034,0.90454,0,0.000845152,0.000845152,0.000845152
4,8.21524,0.60786,0.95424,0.68002,0.89462,0,0.90529,0.85263,0.88586,0.76464,0.90529,0.85263,0.86558,0.74054,0.61147,1.9055,1.07366,0.8762,0,0.00110991,0.00110991,0.00110991
5,9.73344,0.56804,0.77616,0.63497,0.88538,0,0.29486,0.62105,0.25582,0.18929,0.29486,0.62105,0.25316,0.18137,0.8617,2.58979,2.66681,1.00629,0,0.00136278,0.00136278,0.00136278
6,11.189,0.60271,0.76185,0.64609,0.90572,0,0.16204,0.48421,0.29768,0.26831,0.16204,0.48421,0.29683,0.24723,0.66718,2.63477,5.2913,0.94291,0,0.00160378,0.00160378,0.00160378
7,12.7281,0.6008,0.87505,0.63416,0.90261,0,0.31593,0.44211,0.23902,0.19951,0.31593,0.44211,0.23235,0.1831,0.83515,7.61926,2.13401,1.0162,0,0.0017624,0.0017624,0.0017624
8,14.3263,0.58389,0.83054,0.61556,0.8888,0,0.2678,0.68421,0.23357,0.18896,0.26368,0.67368,0.21586,0.17101,0.66936,4.48421,2.5029,0.90247,0,0.0017228,0.0017228,0.0017228
9,15.857,0.5837,0.75265,0.63533,0.88236,0,0.33753,0.64211,0.38511,0.32122,0.33753,0.64211,0.38072,0.30646,0.67308,3.03038,1.14575,0.89201,0,0.0016832,0.0016832,0.0016832
10,17.2882,0.55622,0.70497,0.58175,0.88832,0,0.8777,0.83095,0.90171,0.79372,0.8777,0.83095,0.90455,0.76316,0.53468,1.14311,0.80493,0.83649,0,0.0016436,0.0016436,0.0016436
